WKT,unnamed (1),id,lat,lon
"POINT (106.69079759421426 10.764078361745536)",31.0,32,1.0764078361745536E16,1.0669079759421426E16
"POINT (106.69026115241128 10.763804320133309)",32.0,33,1.0763804320133308E16,1.0669026115241128E16
"POINT (106.68401696982461 10.759440700893409)",33.0,34,1.0759440700893408E16,1.066840169698246E16
"POINT (106.6719470292576 10.755003235888577)",34.0,35,1.0755003235888576E16,1.066719470292576E15
"POINT (106.68336251082498 10.761148211596607)",35.0,36,1.0761148211596608E16,1.0668336251082498E16
"POINT (106.68520787062722 10.756464427904389)",36.0,37,1.0756464427904388E16,1.0668520787062722E16
"POINT (106.68762185874063 10.759025715614477)",37.0,38,1.0759025715614476E16,1.0668762185874064E16
"POINT (106.68978371920663 10.761713463273626)",38.0,39,1.0761713463273626E16,1.0668978371920664E16
"POINT (106.69257321658212 10.764875488662259)",39.0,40,1.076487548866226E16,1.0669257321658212E16
"POINT (106.69536807837564 10.767974241354455)",40.0,41,1.0767974241354456E16,1.0669536807837564E16
"POINT (106.69842043223458 10.771415505886408)",41.0,42,1.0771415505886408E16,1.0669842043223458E16
"POINT (106.67892097954102 10.754745746261232)",42.0,43,1.0754745746261232E16,1.0667892097954102E16
"POINT (106.6782879782135 10.757264887388738)",43.0,44,1.0757264887388738E16,1.066782879782135E15
"POINT (106.6743075800354 10.755525733628952)",44.0,45,1.0755525733628952E16,1.066743075800354E15
"POINT (106.67473673347779 10.75358630185227)",45.0,46,1.075358630185227E15,1.066747367334778E16
"POINT (106.66950106148072 10.753512518875423)",46.0,47,1.0753512518875424E16,1.0666950106148072E16
"POINT (106.66949033264466 10.752700904939275)",47.0,48,1.0752700904939276E16,1.0666949033264466E16
"POINT (106.66793465141602 10.752584959913026)",48.0,49,1.0752584959913026E16,1.0666793465141602E16
"POINT (106.6527643235153 10.771232127772846)",49.0,50,1.0771232127772846E16,1.066527643235153E15
"POINT (106.6531612904495 10.775469100359441)",50.0,51,1.077546910035944E16,1.066531612904495E15
"POINT (106.65244245843351 10.768850121983306)",51.0,52,1.0768850121983306E16,1.0665244245843352E16
"POINT (106.64644503907621 10.765361398094834)",52.0,53,1.0765361398094834E16,1.066464450390762E16
"POINT (106.65118718461454 10.762736923593827)",53.0,54,1.0762736923593828E16,1.0665118718461454E16
"POINT (106.65085769638671 10.75883400874412)",54.0,55,1.075883400874412E15,1.0665085769638672E16
"POINT (106.64934493050231 10.758064570200045)",55.0,56,1.0758064570200044E16,1.0664934493050232E16
"POINT (106.64488173470153 10.764304343975665)",56.0,57,1.0764304343975664E16,1.0664488173470152E16
"POINT (106.64387322411193 10.758359697544947)",57.0,58,1.0758359697544948E16,1.0664387322411192E16
"POINT (106.64320803627623 10.754628423427993)",58.0,59,1.0754628423427992E16,1.0664320803627624E16
