WKT,id
"LINESTRING (106.6498073410626 10.777333154993244, 106.65104438298498 10.78489624563032, 106.65237207644736 10.790099994039936, 106.65337888227002 10.792775711601209, 106.66065839753644 10.788955280873008, 106.6646119736244 10.786811762479628, 106.6703267816908 10.783809636243184, 106.6720935 10.7829234, 106.67863090080093 10.779383069732242)",path-70-80-dijsktra
"LINESTRING (106.6498073410626 10.777333154993244, 106.65104438298498 10.78489624563032, 106.65237207644736 10.790099994039936, 106.65337888227002 10.792775711601209, 106.66065839753644 10.788955280873008, 106.6646119736244 10.786811762479628, 106.6703267816908 10.783809636243184, 106.6720935 10.7829234, 106.67863090080093 10.779383069732242)",path-70-80-bellman_ford
"LINESTRING (106.6498073410626 10.777333154993244, 106.65104438298498 10.78489624563032, 106.65237207644736 10.790099994039936, 106.65337888227002 10.792775711601209, 106.66065839753644 10.788955280873008, 106.6646119736244 10.786811762479628, 106.6703267816908 10.783809636243184, 106.6720935 10.7829234, 106.67863090080093 10.779383069732242)",path-70-80-floyd_warshall
