WKT,id
"LINESTRING (106.67501911727996 10.761171014045628, 106.67647823898406 10.762256648455452, 106.67440457081288 10.767697936760957, 106.67314461089975 10.770844096190466, 106.68163942572494 10.777838880769757, 106.68364126724072 10.78250275195348, 106.68446436589 10.784361150647603)",path-7-86-dijsktra
"LINESTRING (106.67501911727996 10.761171014045628, 106.67647823898406 10.762256648455452, 106.67440457081288 10.767697936760957, 106.67314461089975 10.770844096190466, 106.68163942572494 10.777838880769757, 106.68364126724072 10.78250275195348, 106.68446436589 10.784361150647603)",path-7-86-bellman_ford
"LINESTRING (106.67501911727996 10.761171014045628, 106.67647823898406 10.762256648455452, 106.67440457081288 10.767697936760957, 106.67314461089975 10.770844096190466, 106.68163942572494 10.777838880769757, 106.68364126724072 10.78250275195348, 106.68446436589 10.784361150647603)",path-7-86-floyd_warshall
