WKT,id
"LINESTRING (106.67314461089975 10.770844096190466, 106.67440457081288 10.767697936760957, 106.68171090816944 10.765502988216346, 106.68336251082498 10.761148211596607, 106.6840169698246 10.759440700893409, 106.68520787062722 10.756464427904389)",path-20-37-dijsktra
"LINESTRING (106.67314461089975 10.770844096190466, 106.67440457081288 10.767697936760957, 106.68171090816944 10.765502988216346, 106.68336251082498 10.761148211596607, 106.6840169698246 10.759440700893409, 106.68520787062722 10.756464427904389)",path-20-37-bellman_ford
"LINESTRING (106.67314461089975 10.770844096190466, 106.67440457081288 10.767697936760957, 106.68171090816944 10.765502988216346, 106.68336251082498 10.761148211596607, 106.6840169698246 10.759440700893409, 106.68520787062722 10.756464427904389)",path-20-37-floyd_warshall
