WKT,id
"LINESTRING (106.63532547852763 10.757792107871046, 106.6383644213415 10.758743366369831, 106.64231055743352 10.76660088558952, 106.64806505311532 10.77480180282791, 106.6498073410626 10.777333154993244, 106.65104438298498 10.78489624563032, 106.65237207644736 10.790099994039936, 106.65337888227002 10.792775711601209, 106.66065839753644 10.788955280873008)",path-64-76-dijsktra
"LINESTRING (106.63532547852763 10.757792107871046, 106.6383644213415 10.758743366369831, 106.64231055743352 10.76660088558952, 106.64806505311532 10.77480180282791, 106.6498073410626 10.777333154993244, 106.65104438298498 10.78489624563032, 106.65237207644736 10.790099994039936, 106.65337888227002 10.792775711601209, 106.66065839753644 10.788955280873008)",path-64-76-bellman_ford
"LINESTRING (106.63532547852763 10.757792107871046, 106.6383644213415 10.758743366369831, 106.64231055743352 10.76660088558952, 106.64806505311532 10.77480180282791, 106.6498073410626 10.777333154993244, 106.65104438298498 10.78489624563032, 106.65237207644736 10.790099994039936, 106.65337888227002 10.792775711601209, 106.66065839753644 10.788955280873008)",path-64-76-floyd_warshall
