WKT,id
"LINESTRING (106.67413935272307 10.75751355673015, 106.66637167541596 10.756248719669571, 106.6624556502542 10.75539527465039, 106.66146 10.75842, 106.66002020446868 10.763911765883876, 106.65809974281402 10.770383295097414)",path-6-12-dijsktra
"LINESTRING (106.67413935272307 10.75751355673015, 106.66637167541596 10.756248719669571, 106.6624556502542 10.75539527465039, 106.66146 10.75842, 106.66002020446868 10.763911765883876, 106.65809974281402 10.770383295097414)",path-6-12-bellman_ford
"LINESTRING (106.67413935272307 10.75751355673015, 106.66637167541596 10.756248719669571, 106.6624556502542 10.75539527465039, 106.66146 10.75842, 106.66002020446868 10.763911765883876, 106.65809974281402 10.770383295097414)",path-6-12-floyd_warshall
