WKT,id
"LINESTRING (106.67766 10.75889, 106.67712196914763 10.76035942071941, 106.67647823898406 10.762256648455452, 106.67440457081288 10.767697936760957, 106.67314461089975 10.770844096190466, 106.68163942572494 10.777838880769757, 106.67863090080093 10.779383069732242)",path-17-80-dijsktra
"LINESTRING (106.67766 10.75889, 106.67712196914763 10.76035942071941, 106.67647823898406 10.762256648455452, 106.67440457081288 10.767697936760957, 106.67314461089975 10.770844096190466, 106.68163942572494 10.777838880769757, 106.67863090080093 10.779383069732242)",path-17-80-bellman_ford
"LINESTRING (106.67766 10.75889, 106.67712196914763 10.76035942071941, 106.67647823898406 10.762256648455452, 106.67440457081288 10.767697936760957, 106.67314461089975 10.770844096190466, 106.68163942572494 10.777838880769757, 106.67863090080093 10.779383069732242)",path-17-80-floyd_warshall
