WKT,id
"LINESTRING (106.66560992805572 10.777877025715137, 106.67074904052824 10.769740364375355, 106.67440457081288 10.767697936760957, 106.67647823898406 10.762256648455452, 106.67712196914763 10.76035942071941, 106.67766 10.75889, 106.6782879782135 10.757264887388738, 106.67892097954102 10.754745746261232)",path-18-43-dijsktra
"LINESTRING (106.66560992805572 10.777877025715137, 106.67074904052824 10.769740364375355, 106.67440457081288 10.767697936760957, 106.67647823898406 10.762256648455452, 106.67712196914763 10.76035942071941, 106.67766 10.75889, 106.6782879782135 10.757264887388738, 106.67892097954102 10.754745746261232)",path-18-43-bellman_ford
"LINESTRING (106.66560992805572 10.777877025715137, 106.67074904052824 10.769740364375355, 106.67440457081288 10.767697936760957, 106.67647823898406 10.762256648455452, 106.67712196914763 10.76035942071941, 106.67766 10.75889, 106.6782879782135 10.757264887388738, 106.67892097954102 10.754745746261232)",path-18-43-floyd_warshall
